,Announced Size
532,100MW
533,100MW
534,0.25-0.3 kt H2/y
535,0.3-0.4 kt H2/y
536,
537,100MW
538,0.5MW
539,4MW
540,4MW
541,100MW
542,7.2MW
543,20MW
544,60MW
545,20MW
546,7MW
547,10MW
548,8MW
549,5MW
550,105MW
551,30 TWh H2/y - 8.1Mt CO2/y
552,1MW
553,
554,20 t H2/d
555,0.7MW
556,1000t H2/y
557,50MW
558,100MW
559,500MW
560,10MW
561,100MW
562,20MW
563,2.5 M
564,2MW
565,800MW - 2.5 Mt steel
566,120MW
567,2.5MW
568,67GW
569,250 kt H2/y - 0.15 Mt CO2/
570,25MW
571,100MW
572,6 kg H2/d
573,
574,70MW
575,1000kt CO2/y
576,100000t CO2/y
577,3000000 t CO2/y
578,800000 t CO2/y
579,
580,2-10MW
581,
582,175 kW
583,20MW
584,50kt H2/y production
585,
586,0.1m3 H2/h
587,50000m3 H2/h
588,10MW
589,200 MW
590,
591,1 MW
592,220MW
593,
594,
595,0.7MW
596,1GW
597,
598,4 x 0.25MW
599,
600,
601,
602,20 MW
603,100MW
604,
605,600MW - 1 million t CO2/y
606,1.2GW - 2 million t CO2/y
607,1.4 MW
608,0.7 Mt NH3/y - 0.95Mt CO2/y
609,1Mt NH3/y - 2 Mt CO2/y
610,200MW
611,15MW
612,4MW
613,170-185MW
614,3.4 Mt MeOH/y - 0.9 Mt CO2/y captured
615,20MW
616,
617,600 kt H2/y production
618,2MW
619,17MW
620,10 million cubic feet H2/d
621,25MW
622,1GW
623,1.6 t H2/d
624,10 MW
625,
626,839 MW
627,25MW
628,
629,
630,20MW - 15kt MeOH/y
631,2.8t H2/d
632,
633,
634,
635,50m3 H2/h
636,50MW
637,50MW
638,10MW
639,50MW
640,2MW
641,10t H2/d
642,
643,2.5MW
644,30 MW - 50kt MeOH/y
645,2.5MW
646,0.15MW
647,
648,50m3 CH4/h
649,500MW
650,40MW
651,25MW
652,2MW
653,20MW
654,
655,
656,0.1MW
657,0.35MW
658,2MW
659,10MW
660,1.25MW
661,100 MW
662,30 GWh H2/d
663,78MW
664,1.08 GWh H2/d production
665,1.8 GWh H2/d production
666,300MW
667,1GW
668,
669,23MW
670,90MW
671,1MW
672,
673,84MW
674,332MW
675,0.44kt H2/y
676,1.5MW
677,0.5 MW
678,60MW
679,50MW
680,650t H2/d production
681,1.18t H2/d
682,3t H2/d
683,10t H2/d production
684,75 million liter synfuel/y production
685,2 GW - 550 million liter synfuel/y
686,60-90kg H2/d
687,100 kg H2/d
688,20MW
689,0.9MW
690,5kt H2/y
691,1500 Nm3 H2/h
692,9MW
693,8000MW
694,2000MW
695,1300MW
696,100MW
697,
698,10MW
699,300MW
700,25MW
701,1MW
702,1kt H2/y
703,
704,300 kt H2/y - 2Mt CO2/y
705,100MW
706,400t H2/d
707,
708,
709,350t H2/y
710,4MW
711,2MW
712,7MW
713,2MW
714,10MW
715,2MW
716,20MW
717,150 kt H2/y production
718,45 t H2/d production
719,
720,10MW
721,100MW
722,200MW
723,200 t H2/d production
724,150MW
725,54 kt H2/y
726,50MW H2
727,2.3MW
728,0.2Mt H2/y
729,30kt H2/y production
730,260MW
731,
732,100MW
733,50MW
734,24MW
735,35kt NH3/y production
736,1000W
737,2t H2/d
738,438000t CO2/y
739,100kt H2/y
740,
741,7.5MW
742,
743,25MW or 50t NH3/d
744,
745,0.43MW
746,1000MW
747,54MW
748,2MW
749,200kW
750,1-5MW
751,1MW
752,1MW
753,2MW
754,10MW
755,1MW
756,5MW
757,10MW
758,100MW
759,10MW
760,15kt H2/y
761,26MW
762,18MW
763,6MW
764,60MW
765,2MW
766,102MW
767,300MW
768,2100MW or 102 kt H2/y production
769,50kW
770,5MW
771,300 MW
772,200kgH2/day
773,
774,
775,1000 kt NH3/y
776,10MW
777,10MW
778,15 t H2/d production
779,0.5MW or 1.5t H2/y
780,"1MW, 400 kg H2/d"
781,5t NH3/day - 5MW
782,4t NH3/day production
783,17MW
784,20GW
785,2MW
786,14GW
787,10GW
788,2.7GW
789,500MW
790,5-10MW
791,35MW
792,
793,
794,69MW
795,237MW
796,20MW
797,6 MW
798,3400t NH3/d - 0.5 Mt CO2/y
799,600t H2/d - 0.5 Mt CO2/y
800,200 million Nm3 H2/y
801,200kt NH3/y production
802,
803,
804,20MW
805,
806,0.68 Mt CO2/y
807,
808,2.5 Mt CO2/y
809,100kt CO2/y
810,50kt CO2/y
811,305kt H2/y (production)
812,5 MW - 296 kt H2/y
813,
814,
815,200-500MW
816,165MW
817,100MW
818,380000t CO2/y
819,200-1200 t H2/d
820,30 t H2/d production
821,3 x 1250kw
822,500kw
823,500kw
824,18x180kw
825,4x180kw
826,12x120kw
827,2x120kw
828,75kg H2/d
829,5MW
830,150MW
831,
832,
833,
834,20Mt NH3/y production
835,0.005MW
836,200-400kW
837,80MW
838,
839,0.7MW
840,240 MW - 300kt MeOH/y production
841,90-100MW
842,10MW
843,50MW
844,20 kg H2/d
845,
846,5MW
847,50MW
848,300MW
849,14MW
850,280MW
851,200MW
852,10MW
853,20MW
854,30MW
855,20MW
856,10MW
857,400kg H2/d
858,480 MW - 400kt NH3/y
859,
860,2.5MW
861,2kg H2/d
862,25MW
863,550 t H2/y
864,50t H2/d production
865,0.9MW
866,2kt H2/y
867,
868,30MW
869,310000t H2/y
870,0.9MW
871,4.3 MW or 418 t H2/y
872,85MW
873,1600 t H2/y
874,6MW
875,15t H2/y
876,60t H2/y
877,140t H2/y
878,140t H2/y
879,91MW
880,31kt H2/y production
881,
882,
883,10MW
884,100MW
885,40-50 kg H2/d
886,>465MW - 66.9 kt H2/y (production)
887,5.5 MW or 1100 Nm3 H2/hour
888,1GW
889,1.2Mt steel
890,1Mt NH3/y
891,0.55Mt CO2/y
892,50MW
893,150kW
894,1000000t CO2/y - 1000 kt H2/y
895,600MW
896,255 tH2/d - 650 ktCO2/y by 2030
897,100MW
898,25MW
899,600MW
900,1.3MW
901,9100 t acetone/y
902,
903,1.2 MtH2/year capacity
904,5kt H2/y
905,3MW
906,250MW
907,3GW
908,40TJ of natural gas/day
909,1.8 GW - 5 to 8 Mt CO2/y
910,
911,5 Mt CO2/y - 750 millin scfd
912,1MW
913,0.7 Mt NH3/y - 120 kt H2/y - 1 GW
914,2 Mt NH3/y - 350 kt H2/y - 3GW
915,350 MW
916,750MW
917,180MW
918,15 MW
919,20 MW
920,15 t H2/d production
921,4MW
922,500MW
923,400 kt CO2/y
924,165 kt H2/y
925,2.85 Mt CO2/y
926,
927,80MW
928,50MW
929,250MW
930,30MW
931,100MW
932,300MW
933,100MW
934,20MW
935,150MW
936,80MW
937,
938,1 GW
939,
940,100kt H2/y production
941,100kt H2/y production
942,40MW
943,12.2 t H2/d
944,
945,600MW
946,2GW
947,15GW
948,About a quarter of full capacity
949,"2x745 MW electrolyser, 2.8 GW PV"
950,1MW
951,1000 kg H2/day
952,100MW
953,80MW
954,400MW - 150t H/d
955,4MW
956,8-9t H2/d production
957,800MW
958,
959,66MW
960,8GW
961,3GW
962,5 kt H2/y
963,2 kt H2/y
964,3MW
965,450 kg H2/d
966,
967,110 kt H2/y
968,
969,40MW
970,60MW
971,35 MW
972,5t H2/d - 48t CO2/d
973,
974,410MW
975,50kt synthetic kerosene/y production
976,400MW
977,700MW-1.2 Mt CO2/y
978,5MW
979,1Mt NH3/y - 1800000 t CO2/y
980,42t H2/d - 45 MW
981,10MW
982,
983,1.2 Mt NH3/y or 220 kt H2/y
984,
985,190 kt H2/y - 1000000 t CO2/y
986,500000 t CO2/y - 130 000 Nm3 H2/h
987,
988,
989,800000 t CO2/y
990,400kt H2/y production
991,1 Mt NH3/y production
992,4.3 TWh H2/y - 2Mt CO2/y
993,85MW
994,440MW
995,300 MW
996,1.8GW
997,104000 t CO2/y
998,400Mw
999,8GW
1000,150-2000MW
1001,200t H2/y
1002,0.24MW
1003,156kt NH3/y production
1004,
1005,
1006,0.8MW
1007,1 GW H2 - 1.8 Gt CO2
1008,150MW
1009,780kt NH3/y production
