Ref,Country,Date online,Status,Technology,Technology_electricity,Technology_electricity_details,Product,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,zero-carbon estimated normalized capacity [Nm³ H₂/hour]
885,DEU,2025,Feasibility study,PEM,Dedicated renewable,Offshore wind,H2,100,19231,15,,19231
896,DEU,2023,FID/Construction,PEM,Dedicated renewable,Unknown,H2,24,4615,3.6,,4615
903,OMN,2025,Concept,NG w CCUS,,,H2,,449,0.4,,0
907,DEU,2021,Operational,ALK,Grid,N/A,H2,0.5,109,0.1,,109
920,GBR,2030,Feasibility study,NG w CCUS,,,H2,,1038941,810,7290000,913994
921,FRA,2024,FID/Construction,ALK,Grid,,H2,1,217,0.2,,217
922,ESP,2026,Feasibility study,PEM,Dedicated renewable,Others/Various,Ammonia,,,,,
927,NLD,2026,Feasibility study,PEM,Dedicated renewable,Offshore wind,H2,100,19231,15,,19231
929,AUS,2025,FID/Construction,ALK,Dedicated renewable,Others/Various,H2,10,2174,1.7,,2174
931,ESP,2026,Feasibility study,ALK,Dedicated renewable,Others/Various,H2,100,21739,16.9,,21739
934,USA,2018,Operational,PEM,Other/Unknown,,H2,2,385,0.3,,385
936,SWE,2025,FID/Construction,ALK,Dedicated renewable,Hydropower,H2,800,173913,135.6,,173913
937,USA,2024,FID/Construction,PEM,Dedicated renewable,Hydropower,H2,120,23077,18,,23077
938,ESP,2023,Operational,ALK,Dedicated renewable,Unknown,H2,2.5,543,0.4,,543
940,KOR,2025,Feasibility study,NG w CCUS,,,H2,,320661,250,150000,18806
941,USA,2023,FID/Construction,PEM,Dedicated renewable,Solar PV,H2,25,4808,3.7,,4808
942,DEU,2025,Feasibility study,PEM,Grid,,H2,90,17308,13.5,,17308
943,ESP,2022,Operational,PEM,Dedicated renewable,Solar PV,H2,0.01333949,3,0,,3
944,KOR,2023,FID/Construction,SOEC,Dedicated renewable,Solar PV,H2,,,,,0
946,CHN,2022,Operational,Coal w CCUS,N/A,N/A,H2,,,,1000000,59845
947,CHN,2015,Operational,Oil w CCUS,N/A,N/A,MeOH,,,,100000,5985
949,ARE,2016,Operational,NG w CCUS,N/A,N/A,H2,,,,800000,100301
950,GBR,2025,Feasibility study,PEM,Other/Unknown,,H2,,,,,0
968,AUS,,FID/Construction,PEM,Other/Unknown,,H2,0.7,135,0.1,,135
970,GBR,,Concept,PEM,Other/Unknown,,H2,1000,192308,149.9,,192308
972,AUS,2018,Operational,PEM,Other/Unknown,,H2,0.75,144,0.1,,144
973,GBR,2018,Operational,PEM,Grid,N/A,H2,,,,,0
979,GBR,2028,Feasibility study,NG w CCUS,,,H2,,192135,149.8,1000000,125376
980,GBR,2030,Feasibility study,NG w CCUS,,,H2,,192135,149.8,1000000,125376
981,JPN,2023,FID/Construction,PEM,Other/Unknown,,H2,1.4,269,0.2,,269
982,IDN,2028,Feasibility study,NG w CCUS,,,Ammonia,,161678,126.1,950000,119108
984,NOR,2025,Feasibility study,NG w CCUS,,,Ammonia,,230968,180.1,2000000,250753
986,BRB,2024,Feasibility study,PEM,Dedicated renewable,Solar PV,H2,15,2885,2.2,,2885
987,FRA,2024,FID/Construction,ALK,Dedicated renewable,Solar PV,H2,4,870,0.7,,870
989,CAN,2025,Feasibility study,NG w CCUS,,,MeOH,,556248,433.7,900000,112839
993,HUN,2023,Operational,PEM,Dedicated renewable,Others/Various,H2,2,385,0.3,,385
1003,DEU,2022,Operational,PEM,Other/Unknown,,H2,3.895131086,749,0.6,,749
1006,USA,2025,Feasibility study,ALK,Other/Unknown,,H2,839,182391,142.2,,182391
1007,MEX,2024,Feasibility study,PEM,Dedicated renewable,Solar PV,H2,25,4808,3.7,,4808
1011,DEU,2024,Feasibility study,PEM,Dedicated renewable,Onshore wind,H2,20,3846,3,,3846
1012,CHN,2023,Operational,PEM,Dedicated renewable,Unknown,H2,6.816479401,1311,1,,1311
1020,CHN,,Concept,ALK,Dedicated renewable,Onshore wind,H2,10,2174,1.7,,2174
1022,AUT,2023,FID/Construction,PEM,Dedicated renewable,Others/Various,H2,2,385,0.3,,385
1027,POL,2024,FID/Construction,PEM,Dedicated renewable,Others/Various,H2,2.5,481,0.4,,481
1028,SWE,2025,Feasibility study,ALK,Dedicated renewable,Onshore wind,MeOH,25,5435,4.2,,5435
1051,DEU,2024,Feasibility study,ALK,Dedicated renewable,Others/Various,CH4,139.690252,30367,23.7,,30367
1052,DEU,2028,Feasibility study,ALK,Dedicated renewable,Others/Various,CH4,232.8170867,50612,39.5,,50612
1063,DEU,,FID/Construction,PEM,Dedicated renewable,Others/Various,H2,2.934687805,564,0.4,,564
